name,order,rank,slug,revenues_m,revenue_percent_change,profits_m,profits_percent_change,assets_m,total_shareholder_equity,profit_as_of_revenues,profits_as_of_assets,profit_as_a_of_shareholder_equity,industry,headquarters_state,market_value_m,ticker,year,employees,headquarters_city,gained_in_rank,dropped_in_rank,newcomer_to_the_fortune_500,profitable,founder_is_ceo,foreign_born_ceo,female_ceo,growth_in_jobs,sector,global_500,best_companies,world_s_most_admired_companies,change_the_world,fastest_growing_companies,change_in_rank_full_1000,change_in_rank_500_only,measure_up,measure_up_rank,state
Walmart,1,1,/company/walmart/,"$476,294",1.5%,"$16,022",-5.7%,"$204,751","76,255",3.4%,7.8%,21,General Merchandisers,AR,"$246,805",WMT,2014,,,,,,,,,,,,,,,,,,,,,
Exxon Mobil,2,2,/company/exxon-mobil/,"$407,666",-9.4%,"$32,580",-27.4%,"$346,808","174,003",8%,9.4%,18.7,Petroleum Refining,TX,"$422,098",XOM,2014,,,,,,,,,,,,,,,,,,,,,
Chevron,3,3,/company/chevron/,"$220,356",-5.8%,"$21,423",-18.2%,"$253,753","149,113",9.7%,8.4%,14.4,Petroleum Refining,CA,"$227,014",CVX,2014,,,,,,,,,,,,,,,,,,,,,
Berkshire Hathaway,4,4,/company/berkshire-hathaway/,"$182,150",12.1%,"$19,476",31.4%,"$484,931","221,890",10.7%,4%,8.8,Insurance: Property and Casualty (Stock),NE,"$308,003",BRKA,2014,,,,,,,,,,,,,,,,,,,,,
Apple,5,5,/company/apple/,"$170,910",9.2%,"$37,037",-11.3%,"$207,000","123,549",21.7%,17.9%,30,"Computers, Office Equipment",CA,"$479,069",AAPL,2014,,,,,,,,,,,,,,,,,,,,,
Phillips 66,6,6,/company/phillips/,"$161,175",-4.9%,"$3,726",-9.7%,"$49,798","21,950",2.3%,7.5%,17,Petroleum Refining,TX,"$45,282",PSX,2014,,,,,,,,,,,,,,,,,,,,,
General Motors,7,7,/company/general-motors/,"$155,427",2.1%,"$5,346",-13.6%,"$166,344","42,607",3.4%,3.2%,12.5,Motor Vehicles and Parts,MI,"$54,720",GM,2014,,,,,,,,,,,,,,,,,,,,,
Ford Motor,8,8,/company/ford-motor/,"$146,917",9.4%,"$7,155",26.3%,"$202,026","26,383",4.9%,3.5%,27.1,Motor Vehicles and Parts,MI,"$61,523",F,2014,,,,,,,,,,,,,,,,,,,,,
General Electric,9,9,/company/general-electric/,"$146,231",-0.4%,"$13,057",-4.3%,"$656,560","130,566",8.9%,2%,10,Diversified Financials,CT,"$259,547",GE,2014,,,,,,,,,,,,,,,,,,,,,
Valero Energy,10,10,/company/valero-energy/,"$137,758",-0.4%,"$2,720",30.6%,"$47,260","19,460",2%,5.8%,14,Petroleum Refining,TX,"$28,276",VLO,2014,,,,,,,,,,,,,,,,,,,,,
AT&T,11,11,/company/att/,"$128,752",1%,"$18,249",151.2%,"$277,787","90,988",14.2%,6.6%,20.1,Telecommunications,TX,"$182,604",T,2014,,,,,,,,,,,,,,,,,,,,,
CVS Health,12,12,/company/cvs-health/,"$126,761",2.9%,"$4,592",18.4%,"$71,526","37,938",3.6%,6.4%,12.1,Food and Drug Stores,RI,"$88,516",CVS,2014,,,,,,,,,,,,,,,,,,,,,
Fannie Mae,13,13,/company/fannie-mae/,"$125,696",-1.2%,"$83,963",387.6%,"$3,270,108","9,541",66.8%,2.6%,880,Diversified Financials,DC,"$4,516",FNMA,2014,,,,,,,,,,,,,,,,,,,,,
UnitedHealth Group,14,14,/company/unitedhealth-group/,"$122,489",10.7%,"$5,625",1.8%,"$81,882","32,149",4.6%,6.9%,17.5,Health Care: Insurance and Managed Care,MN,"$81,103",UNH,2014,,,,,,,,,,,,,,,,,,,,,
McKesson,15,15,/company/mckesson/,"$122,455",-0.2%,"$1,338",-4.6%,"$34,786","7,070",1.1%,3.8%,18.9,Wholesalers: Health Care,CA,"$40,633",MCK,2014,,,,,,,,,,,,,,,,,,,,,
Verizon Communications,16,16,/company/verizon/,"$120,550",4.1%,"$11,497",1213%,"$274,098","38,836",9.5%,4.2%,29.6,Telecommunications,NY,"$196,994",VZ,2014,,,,,,,,,,,,,,,,,,,,,
HP,17,17,/company/hp/,"$112,298",-6.7%,"$5,113",,"$105,676","27,269",4.6%,4.8%,18.8,"Computers, Office Equipment",CA,"$61,326",HPQ,2014,,,,,,,,,,,,,,,,,,,,,
JPMorgan Chase,18,18,/company/jpmorgan-chase/,"$106,283",-1.8%,"$17,923",-15.8%,"$2,415,689","211,178",16.9%,0.7%,8.5,Commercial Banks,NY,"$229,792",JPM,2014,,,,,,,,,,,,,,,,,,,,,
Costco Wholesale,19,19,/company/costco/,"$105,156",6.1%,"$2,039",19.3%,"$30,283","10,833",1.9%,6.7%,18.8,Specialty Retailers: Other,WA,"$49,125",COST,2014,,,,,,,,,,,,,,,,,,,,,
Express Scripts Holding,20,20,/company/express-scripts-holding/,"$104,620",10.8%,"$1,845",40.5%,"$53,548","21,837",1.8%,3.4%,8.4,Health Care: Pharmacy and Other Services,MO,"$58,272",ESRX,2014,,,,,,,,,,,,,,,,,,,,,
Bank of America,21,21,/company/bank-of-america-corp/,"$101,697",1.6%,"$11,431",172.9%,"$2,102,273","232,685",11.2%,0.5%,4.9,Commercial Banks,NC,"$181,086",BAC,2014,,,,,,,,,,,,,,,,,,,,,
Cardinal Health,22,22,/company/cardinal-health/,"$101,093",-6%,$334,-68.8%,"$25,819","5,975",0.3%,1.3%,5.6,Wholesalers: Health Care,OH,"$23,995",CAH,2014,,,,,,,,,,,,,,,,,,,,,
IBM,23,23,/company/ibm/,"$99,751",-4.6%,"$16,483",-0.7%,"$126,223","22,792",16.5%,13.1%,72.3,Information Technology Services,NY,"$200,447",IBM,2014,,,,,,,,,,,,,,,,,,,,,
Kroger,24,24,/company/kroger/,"$98,375",1.7%,"$1,519",1.5%,"$29,281","5,384",1.5%,5.2%,28.2,Food and Drug Stores,OH,"$22,294",KR,2014,,,,,,,,,,,,,,,,,,,,,
Marathon Petroleum,25,25,/company/marathon-petroleum/,"$93,991",22.4%,"$2,112",-37.7%,"$28,385","10,920",2.2%,7.4%,19.3,Petroleum Refining,OH,"$25,490",MPC,2014,,,,,,,,,,,,,,,,,,,,,
Citigroup,26,26,/company/citigroup/,"$93,629",3.2%,"$13,673",81.3%,"$1,880,382","204,339",14.6%,0.7%,6.7,Commercial Banks,NY,"$144,627",C,2014,,,,,,,,,,,,,,,,,,,,,
Archer Daniels Midland,27,27,/company/archer-daniels-midland/,"$89,804",0.9%,"$1,342",9.7%,"$43,752","20,156",1.5%,3.1%,6.7,Food Production,IL,"$28,453",ADM,2014,,,,,,,,,,,,,,,,,,,,,
Cencora,28,28,/company/amerisourcebergen/,"$89,140",11.8%,$434,-39.7%,"$18,919","2,320",0.5%,2.3%,18.7,Wholesalers: Health Care,PA,"$15,033",COR,2014,,,,,,,,,,,,,,,,,,,,,
Wells Fargo,29,29,/company/wells-fargo/,"$88,069",-3.5%,"$21,878",15.8%,"$1,527,015","170,142",24.8%,1.4%,12.9,Commercial Banks,CA,"$261,217",WFC,2014,,,,,,,,,,,,,,,,,,,,,
Boeing,30,30,/company/boeing/,"$86,623",6%,"$4,585",17.6%,"$92,663","14,875",5.3%,4.9%,30.8,Aerospace and Defense,IL,"$93,289",BA,2014,,,,,,,,,,,,,,,,,,,,,
Procter & Gamble,31,31,/company/procter-gamble/,"$84,167",-1.1%,"$11,312",5.2%,"$139,263","68,064",13.4%,8.1%,16.6,Household and Personal Products,OH,"$218,539",PG,2014,,,,,,,,,,,,,,,,,,,,,
Freddie Mac,32,32,/company/freddie-mac/,"$81,221",0.7%,"$48,668",343.2%,"$1,966,061","12,835",59.9%,2.5%,379.2,Diversified Financials,VA,"$2,509",FMCC,2014,,,,,,,,,,,,,,,,,,,,,
Home Depot,33,33,/company/home-depot/,"$78,812",5.4%,"$5,385",18.7%,"$40,518","12,522",6.8%,13.3%,43,Specialty Retailers: Other,GA,"$109,306",HD,2014,,,,,,,,,,,,,,,,,,,,,
Microsoft,34,34,/company/microsoft/,"$77,849",5.6%,"$21,863",28.8%,"$142,431","78,944",28.1%,15.3%,27.7,Computer Software,WA,"$340,246",MSFT,2014,,,,,,,,,,,,,,,,,,,,,
Amazon,35,35,/company/amazon-com/,"$74,452",21.9%,$274,,"$40,159","9,746",0.4%,0.7%,2.8,Internet Services and Retailing,WA,"$154,480",AMZN,2014,,,,,,,,,,,,,,,,,,,,,
Target,36,36,/company/target/,"$72,596",-1%,"$1,971",-34.3%,"$44,553","16,231",2.7%,4.4%,12.1,General Merchandisers,MN,"$38,313",TGT,2014,,,,,,,,,,,,,,,,,,,,,
Walgreen Co.,37,37,/company/walgreen-co/,"$72,217",0.8%,"$2,450",15.2%,"$35,481","19,454",3.4%,6.9%,12.6,Food and Drug Stores,IL,"$62,739",WAG,2014,,,,,,,,,,,,,,,,,,,,,
Elevance Health,38,38,/company/elevance-health/,"$71,458",15.8%,"$2,490",-6.2%,"$59,575","24,765",3.5%,4.2%,10.1,Health Care: Insurance and Managed Care,IN,"$28,118",ELV,2014,,,,,,,,,,,,,,,,,,,,,
Johnson & Johnson,39,39,/company/johnson-johnson/,"$71,312",6.1%,"$13,831",27.4%,"$132,683","74,053",19.4%,10.4%,18.7,Pharmaceuticals,NJ,"$277,883",JNJ,2014,,,,,,,,,,,,,,,,,,,,,
AIG,40,40,/company/aig/,"$68,678",-2.1%,"$9,085",164.3%,"$541,329","100,470",13.2%,1.7%,9,Insurance: Property and Casualty (Stock),NY,"$73,218",AIG,2014,,,,,,,,,,,,,,,,,,,,,
State Farm Insurance,41,41,/company/state-farm-insurance-cos/,"$68,291",4.6%,"$5,189",64.3%,"$224,694","75,900",7.6%,2.3%,6.8,Insurance: Property and Casualty (Mutual),IL,,,2014,,,,,,,,,,,,,,,,,,,,,
MetLife,42,42,/company/metlife/,"$68,202",,"$3,368",154.4%,"$885,296","61,553",4.9%,0.4%,5.5,"Insurance: Life, Health (stock)",NY,"$59,322",MET,2014,,,,,,,,,,,,,,,,,,,,,
PepsiCo,43,43,/company/pepsico/,"$66,415",1.4%,"$6,740",9.1%,"$77,478","24,279",10.1%,8.7%,27.8,Food Consumer Products,NY,"$128,267",PEP,2014,,,,,,,,,,,,,,,,,,,,,
Comcast,44,44,/company/comcast/,"$64,657",3.3%,"$6,816",9.9%,"$158,813","50,694",10.5%,4.3%,13.4,Telecommunications,PA,"$130,431",CMCSA,2014,,,,,,,,,,,,,,,,,,,,,
United Technologies,45,45,/company/united-technologies-corporation/,"$62,935",5.3%,"$5,721",11.5%,"$90,594","31,866",9.1%,6.3%,18,Aerospace and Defense,CT,"$106,936",UTX,2014,,,,,,,,,,,,,,,,,,,,,
Alphabet,46,46,/company/alphabet/,"$60,629",16.1%,"$12,920",20.3%,"$110,920","87,309",21.3%,11.6%,14.8,Internet Services and Retailing,CA,"$375,416",GOOGL,2014,,,,,,,,,,,,,,,,,,,,,
ConocoPhillips,47,47,/company/conocophillips/,"$59,433",-6.2%,"$9,156",8.6%,"$118,057","52,090",15.4%,7.8%,17.6,"Mining, Crude-Oil Production",TX,"$86,256",COP,2014,,,,,,,,,,,,,,,,,,,,,
Dow Chemical,48,48,/company/the-dow-chemical-company/,"$57,080",0.5%,"$4,787",305%,"$69,501","26,898",8.4%,6.9%,17.8,Chemicals,MI,"$59,077",DOW,2014,,,,,,,,,,,,,,,,,,,,,
Caterpillar,49,49,/company/caterpillar/,"$55,656",-15.5%,"$3,789",-33.3%,"$84,896","20,811",6.8%,4.5%,18.2,Construction and Farm Machinery,IL,"$63,380",CAT,2014,,,,,,,,,,,,,,,,,,,,,
United Parcel Service,50,50,/company/ups/,"$55,438",2.4%,"$4,372",441.8%,"$36,212","6,474",7.9%,12.1%,67.5,"Mail, Package, and Freight Delivery",GA,"$89,525",UPS,2014,,,,,,,,,,,,,,,,,,,,,
Pfizer,51,51,/company/pfizer/,"$53,785",-12.2%,"$22,003",51%,"$172,101","76,307",40.9%,12.8%,28.8,Pharmaceuticals,NY,"$205,360",PFE,2014,,,,,,,,,,,,,,,,,,,,,
Lowe's,52,52,/company/lowes/,"$53,417",5.7%,"$2,286",16.7%,"$32,732","11,853",4.3%,7%,19.3,Specialty Retailers: Other,NC,"$49,818",LOW,2014,,,,,,,,,,,,,,,,,,,,,
Intel,53,53,/company/intel/,"$52,708",-1.2%,"$9,620",-12.6%,"$92,358","58,256",18.3%,10.4%,16.5,Semiconductors and Other Electronic Components,CA,"$128,347",INTC,2014,,,,,,,,,,,,,,,,,,,,,
Energy Transfer,54,54,/company/energy-transfer-equity/,"$48,750",182%,$196,-35.1%,"$50,330","1,078",0.4%,0.4%,18.2,Pipelines,TX,"$26,097",ET,2014,,,,,,,,,,,,,,,,,,,,,
Cisco Systems,55,55,/company/cisco-systems-inc/,"$48,607",5.5%,"$9,983",24.2%,"$101,191","59,120",20.5%,9.9%,16.9,Network and Other Communications Equipment,CA,"$115,466",CSCO,2014,,,,,,,,,,,,,,,,,,,,,
Enterprise Products Partners,56,56,/company/enterprise-products-partners/,"$47,727",12.1%,"$2,597",7.3%,"$40,139","15,215",5.4%,6.5%,17.1,Pipelines,TX,"$64,898",EPD,2014,,,,,,,,,,,,,,,,,,,,,
Aetna Inc.,57,57,/company/aetna-inc/,"$47,295",29.2%,"$1,914",15.4%,"$49,872","14,026",4%,3.8%,13.6,Health Care: Insurance and Managed Care,CT,"$27,191",AET,2014,,,,,,,,,,,,,,,,,,,,,
Coca-Cola,58,58,/company/coca-cola/,"$46,854",-2.4%,"$8,584",-4.8%,"$90,055","33,173",18.3%,9.5%,25.9,Beverages,GA,"$170,331",KO,2014,,,,,,,,,,,,,,,,,,,,,
Lockheed Martin,59,59,/company/lockheed-martin/,"$45,358",-3.9%,"$2,981",8.6%,"$36,188","4,918",6.6%,8.2%,60.6,Aerospace and Defense,MD,"$52,470",LMT,2014,,,,,,,,,,,,,,,,,,,,,
Best Buy,60,60,/company/best-buy/,"$45,225",0.3%,$532,,"$14,013","3,986",1.2%,3.8%,13.3,Specialty Retailers: Other,MN,"$9,165",BBY,2014,,,,,,,,,,,,,,,,,,,,,
Walt Disney,61,61,/company/disney/,"$45,041",6.5%,"$6,136",8%,"$81,241","45,429",13.6%,7.6%,13.5,Entertainment,CA,"$140,287",DIS,2014,,,,,,,,,,,,,,,,,,,,,
CHS,62,62,/company/chs/,"$44,480",9.6%,$992,-21.3%,"$13,504","5,131",2.2%,7.3%,19.3,Wholesalers: Food and Grocery,MN,,,2014,,,,,,,,,,,,,,,,,,,,,
Sysco,63,63,/company/sysco/,"$44,411",4.8%,$992,-11.5%,"$12,664","5,192",2.2%,7.8%,19.1,Wholesalers: Food and Grocery,TX,"$21,134",SYY,2014,,,,,,,,,,,,,,,,,,,,,
FedEx,64,64,/company/fedex/,"$44,287",3.8%,"$1,561",-23.2%,"$33,567","17,398",3.5%,4.7%,9,"Mail, Package, and Freight Delivery",TN,"$39,173",FDX,2014,,,,,,,,,,,,,,,,,,,,,
Merck,65,65,/company/merck/,"$44,033",-6.8%,"$4,404",-28.6%,"$105,645","49,765",10%,4.2%,8.8,Pharmaceuticals,NJ,"$166,939",MRK,2014,,,,,,,,,,,,,,,,,,,,,
INTL FCStone,66,66,/company/intl-fcstone/,"$43,768",-35.6%,$19,50.8%,"$2,848",335,,0.7%,5.8,Diversified Financials,NY,$358.7,INTL,2014,,,,,,,,,,,,,,,,,,,,,
Safeway,67,67,/company/safeway/,"$42,982",-2.8%,"$3,508",488%,"$17,220","5,820",8.2%,20.4%,60.3,Food and Drug Stores,CA,"$8,507",SWY,2014,,,,,,,,,,,,,,,,,,,,,
Johnson Controls,68,68,/company/johnson-controls/,"$42,730",1.8%,"$1,178",-3.9%,"$31,518","12,314",2.8%,3.7%,9.6,Motor Vehicles and Parts,WI,"$31,421",JCI,2014,,,,,,,,,,,,,,,,,,,,,
